model,dataset,param,value,CHAR,Fid+,Fid-,AUFSC+,Sparsity,val_CHAR,Fid+_05,Fid-_05,Fid+_10,Fid-_10,Fid+_15,Fid-_15,Fid+_20,Fid-_20,Fid+_25,Fid-_25,Fid+_30,Fid-_30,Fid+_40,Fid-_40,Fid+_50,Fid-_50
tgn,wikipedia,lambda_cfx,0.5,0.6118311079447738,0.44286863384276703,0.989246856610643,0.20615977308327335,0.20824238400235895,0.6271603754502625,0.14906227509419584,0.9822615469285805,0.29706616993353374,0.9872147665213158,0.3778417509842936,0.9900512256043351,0.44286863384276703,0.989246856610643,0.49113077346429024,0.9870877608907328,0.5227975106896405,0.9859870454256805,0.5534905380805216,0.9852673468523772,0.5485796536979806,0.9848439947504339
tgn,wikipedia,lambda_cfx,1.0,0.5791266937399138,0.4097624994708099,0.9871300961009272,0.19889187587316368,0.23135842393647982,0.6140128077392364,0.1633292409296812,0.984716989119851,0.26484907497565724,0.9890775157698658,0.3421955040006774,0.9886541636679226,0.4097624994708099,0.9871300961009272,0.46454426146225813,0.9880191355150079,0.49959781550315396,0.9860293806358749,0.5498073747936159,0.9864527327378181,0.5658100842470682,0.9851826764319885
tgn,wikipedia,lambda_cfx,2.0,0.6341118032885172,0.46746539096566614,0.98539435248296,0.22165763515515857,0.2528526231870172,0.6572211700898948,0.1755641166758393,0.9845899834892681,0.2947377333728462,0.9863257271072351,0.391304347826087,0.9868337496295669,0.46746539096566614,0.98539435248296,0.5269040260784895,0.9851826764319885,0.5740654502349604,0.986579738368401,0.6037847677913721,0.9844629778586851,0.5962914355869777,0.9840819609669362
tgn,wikipedia,lambda_cfx,3.0,0.6077377318022963,0.4391854705558613,0.9862410566868465,0.21133842767029337,0.2745491503826382,0.6308407802237025,0.17780788281613819,0.9823462173489691,0.27780364929511875,0.9828119046611067,0.36425214851191734,0.9862833918970407,0.4391854705558613,0.9862410566868465,0.4919774776681766,0.985521358113543,0.536683459633377,0.9861563862664579,0.5805850726048855,0.9843783074382965,0.598450531306888,0.985521358113543
tgn,wikipedia,lambda_cfx,5.0,0.6136599907249826,0.4450277295626773,0.9880614707252021,0.22428030142669658,0.3043462362975181,0.6390217916091587,0.22611235764785573,0.9823462173489691,0.28787942932136656,0.9825155581897465,0.3670886075949367,0.9880191355150079,0.4450277295626773,0.9880614707252021,0.5158545362177723,0.9856060285339316,0.5731340756106854,0.9867914144193726,0.6254603954108632,0.9861987214766521,0.6460776427754964,0.985775369374709
tgn,wikipedia,lambda_cfx,8.0,0.5791775622025849,0.40997417552178145,0.9861987214766521,0.21681977901020277,0.33787747837152354,0.6116435163571821,0.2671775115363448,0.9841242961771305,0.2922399559713814,0.9843783074382965,0.33804665340163415,0.9844629778586851,0.40997417552178145,0.9861987214766521,0.47500105838025486,0.9864103975276237,0.5330426315566656,0.9867914144193726,0.6123788154608187,0.9872994369417044,0.6632234029041955,0.9852250116421828
tgn,wikipedia,lambda_ind,0.0,0.6284593652838019,0.46090343338554673,0.9874264425722874,0.22438190593116294,0.2744541228057887,0.6458558910375318,0.2067228313788578,0.9825155581897465,0.29490707421362344,0.9872994369417044,0.37991617628381524,0.9901358960247237,0.46090343338554673,0.9874264425722874,0.5277930654925702,0.9867490792091783,0.5786376529359468,0.9850133355912112,0.6158926379069473,0.9852673468523772,0.6210151983404597,0.9833622623936328
tgn,wikipedia,lambda_ind,0.1,0.6181023070144684,0.45023496041657846,0.9855636933237374,0.21904555268616907,0.2758235818519605,0.6425579148233054,0.20320900893272936,0.985521358113543,0.28516997586893017,0.9889928453494772,0.36450615977308326,0.9889928453494772,0.45023496041657846,0.9855636933237374,0.5149231615934973,0.9864103975276237,0.5676728334956183,0.9856906989543203,0.6032344100588459,0.9895855382921976,0.6064942212438085,0.9890351805596714
tgn,wikipedia,lambda_ind,0.25,0.6183845621303051,0.4500232843656069,0.9880191355150079,0.21742728927649124,0.2734231068273462,0.6442224176830829,0.19508064857542018,0.9854366876931544,0.2910969052961348,0.9876804538334533,0.37466661021971975,0.9900512256043351,0.4500232843656069,0.9880191355150079,0.5175056094153507,0.9877651242538419,0.5640743406291012,0.9866644087887896,0.5950213792811482,0.9868760848397612,0.5815587824393548,0.9862410566868465
tgn,wikipedia,lambda_ind,0.5,0.6077377318022963,0.4391854705558613,0.9862410566868465,0.21133842767029337,0.2745491503826382,0.6308407802237025,0.17780788281613819,0.9823462173489691,0.27780364929511875,0.9828119046611067,0.36425214851191734,0.9862833918970407,0.4391854705558613,0.9862410566868465,0.4919774776681766,0.985521358113543,0.536683459633377,0.9861563862664579,0.5805850726048855,0.9843783074382965,0.598450531306888,0.985521358113543
